qname	mapped_flag	mapped_rname	mapped_pos	mapped_mapq	mapped_cigar	mapped_rnext	mapped_pnext	mapped_tlen	mapped_organism	true_record	true_start	true_end	true_organism	correct
volpertinger_1	0	B1	2143	37	26M	*	0	0	volpertinger	B1	2143	2168	volpertinger	TRUE
volpertinger_2	0	MT	3402	37	20M	*	0	0	volpertinger	MT	3402	3421	volpertinger	TRUE
volpertinger_3	0	A3	1413	37	24M	*	0	0	volpertinger	A3	1413	1436	volpertinger	TRUE
volpertinger_4	0	A3	5689	23	21M	*	0	0	volpertinger	A3	5689	5709	volpertinger	TRUE
volpertinger_5	0	MT	3280	37	23M	*	0	0	volpertinger	MT	3280	3302	volpertinger	TRUE
volpertinger_6	0	A3	4936	37	25M	*	0	0	volpertinger	A3	4936	4960	volpertinger	TRUE
volpertinger_7	0	A1	1320	23	21M	*	0	0	volpertinger	A1	1320	1340	volpertinger	TRUE
volpertinger_8	0	A3	4480	37	25M	*	0	0	volpertinger	A3	4480	4504	volpertinger	TRUE
volpertinger_9	0	X	2381	20	20M	*	0	0	volpertinger	X	2381	2400	volpertinger	TRUE
volpertinger_10	0	A1	2751	25	31M	*	0	0	volpertinger	A1	2751	2781	volpertinger	TRUE
volpertinger_11	0	A2	4254	37	28M	*	0	0	volpertinger	A2	4254	4281	volpertinger	TRUE
volpertinger_12	16	MT	2070	0	20M	*	0	0	volpertinger	A1	3811	3830	volpertinger	FALSE
volpertinger_13	0	X	1474	37	24M	*	0	0	volpertinger	X	1474	1497	volpertinger	TRUE
volpertinger_14	0	B3	5855	37	22M	*	0	0	volpertinger	B3	5855	5876	volpertinger	TRUE
volpertinger_15	0	A1	2351	37	32M	*	0	0	volpertinger	A1	2351	2382	volpertinger	TRUE
volpertinger_16	0	B3	1378	37	22M	*	0	0	volpertinger	B3	1378	1399	volpertinger	TRUE
volpertinger_17	0	MT	3153	20	21M	*	0	0	volpertinger	MT	3153	3173	volpertinger	TRUE
volpertinger_18	0	B2	3167	37	20M	*	0	0	volpertinger	B2	3167	3186	volpertinger	TRUE
volpertinger_19	4	*	0	0	*	*	0	0	*	A2	5852	5884	volpertinger	FALSE
volpertinger_20	0	A3	4211	37	20M	*	0	0	volpertinger	A3	4211	4230	volpertinger	TRUE
volpertinger_21	0	MT	3627	37	25M	*	0	0	volpertinger	MT	3627	3651	volpertinger	TRUE
volpertinger_22	0	B3	5269	37	21M	*	0	0	volpertinger	B3	5269	5289	volpertinger	TRUE
