qname	rname	pos	mapq
sample_0	*	0	0
sample_1	*	0	0
sample_2	*	0	0
sample_3	*	0	0
sample_4	*	0	0
sample_5	*	0	0
sample_6	*	0	0
sample_7	*	0	0
sample_8	*	0	0
sample_9	*	0	0
sample_10	*	0	0
sample_11	*	0	0
sample_12	*	0	0
sample_13	*	0	0
sample_14	*	0	0
sample_15	*	0	0
sample_16	*	0	0
sample_17	*	0	0
sample_18	*	0	0
sample_19	*	0	0
sample_20	*	0	0
sample_21	*	0	0
sample_22	*	0	0
sample_23	*	0	0
sample_24	*	0	0
retli_0	*	0	0
retli_1	*	0	0
retli_2	*	0	0
retli_3	*	0	0
retli_4	*	0	0
retli_5	*	0	0
retli_6	*	0	0
retli_7	*	0	0
retli_8	*	0	0
retli_9	*	0	0
retli_10	*	0	0
retli_11	*	0	0
retli_12	*	0	0
retli_13	*	0	0
retli_14	*	0	0
retli_15	*	0	0
retli_16	*	0	0
retli_17	*	0	0
retli_18	*	0	0
retli_19	*	0	0
retli_20	*	0	0
retli_21	*	0	0
retli_22	*	0	0
retli_23	*	0	0
retli_24	*	0	0
